id, name, latitude, longitude
209,  IJMOND, 4.518, 52.465
210,  VALKENBURG, 4.43, 52.171
215,  VOORSCHOTEN, 4.437, 52.141
225,  IJMUIDEN, 4.555, 52.463
235,  DE KOOY, 4.781, 52.928
240,  SCHIPHOL, 4.79, 52.318
242,  VLIELAND, 4.921, 53.241
248,  WIJDENES, 5.174, 52.634
249,  BERKHOUT, 4.979, 52.644
251,  HOORN (TERSCHELLING), 5.346, 53.392
257,  WIJK AAN ZEE, 4.603, 52.506
258,  HOUTRIBDIJK, 5.401, 52.649
260,  DE BILT, 5.18, 52.1
265,  SOESTERBERG, 5.274, 52.13
267,  STAVOREN, 5.384, 52.898
269,  LELYSTAD, 5.52, 52.458
270,  LEEUWARDEN, 5.752, 53.224
273,  MARKNESSE, 5.888, 52.703
275,  DEELEN, 5.873, 52.056
277,  LAUWERSOOG, 6.2, 53.413
278,  HEINO, 6.259, 52.435
279,  HOOGEVEEN, 6.574, 52.75
280,  EELDE, 6.585, 53.125
283,  HUPSEL, 6.657, 52.069
285,  HUIBERTGAT, 6.399, 53.575
286,  NIEUW BEERTA, 7.15, 53.196
290,  TWENTHE, 6.891, 52.274
308,  CADZAND, 3.379, 51.381
310,  VLISSINGEN, 3.596, 51.442
311,  HOOFDPLAAT, 3.672, 51.379
312,  OOSTERSCHELDE, 3.622, 51.768
313,  VLAKTE V.D. RAAN, 3.242, 51.505
315,  HANSWEERT, 3.998, 51.447
316,  SCHAAR, 3.694, 51.657
319,  WESTDORPE, 3.861, 51.226
323,  WILHELMINADORP, 3.884, 51.527
324,  STAVENISSE, 4.006, 51.596
330,  HOEK VAN HOLLAND, 4.122, 51.992
331,  THOLEN, 4.193, 51.48
340,  WOENSDRECHT, 4.342, 51.449
343,  R'DAM-GEULHAVEN, 4.313, 51.893
344,  ROTTERDAM, 4.447, 51.962
348,  CABAUW, 4.926, 51.97
350,  GILZE-RIJEN, 4.936, 51.566
356,  HERWIJNEN, 5.146, 51.859
370,  EINDHOVEN, 5.377, 51.451
375,  VOLKEL, 5.707, 51.659
377,  ELL, 5.763, 51.198
380,  MAASTRICHT, 5.762, 50.906
391,  ARCEN, 6.197, 51.498
